file,src,duration_s,events,T0_med_s,est_bpm,bpm_out,has_breath,confidence,max_votes,mean_votes,peak_ratio,band_ratio,crop_start_idx,crop_end_idx,crop_len,out_csv,out_png
T1_fast16,RDI,57.820000,32,1.500625,39.867110,39.867110,True,0.900000,12.000000,0.343826,34.901408,0.675239,63,1715,1652,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T1_fast16_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T1_fast16_plot.png
T1_normal16,RDI,58.135000,13,6.002500,13.605442,13.605442,True,0.900000,12.000000,0.168573,71.185714,0.594837,54,1715,1661,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T1_normal16_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T1_normal16_plot.png
T2_fast17,RDI,57.540000,26,2.401000,32.967033,32.967033,True,0.900000,12.000000,0.253041,47.423077,0.598938,71,1715,1644,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T2_fast17_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T2_fast17_plot.png
T2_normal17,RDI,58.030000,18,3.001250,18.433180,18.433180,True,0.900000,12.000000,0.267793,44.810811,0.659870,57,1715,1658,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T2_normal17_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T2_normal17_plot.png
T3_fast18,RDI,57.785000,16,4.001667,17.142857,17.142857,True,0.900000,12.000000,0.222895,53.836956,0.617355,64,1715,1651,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T3_fast18_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T3_fast18_plot.png
T3_normal18,RDI,58.135000,11,6.002500,10.884354,10.884354,True,0.900000,12.000000,0.151716,79.095238,0.717635,54,1715,1661,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T3_normal18_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T3_normal18_plot.png
T4_fast19,RDI,57.680000,12,6.002500,12.513034,12.513034,True,0.900000,12.000000,0.201456,59.566265,0.520476,67,1715,1648,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T4_fast19_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T4_fast19_plot.png
T4_normal19,RDI,58.205000,18,3.501458,21.699819,21.699819,True,0.900000,12.000000,0.206855,58.011628,0.545674,52,1715,1663,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T4_normal19_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T4_normal19_plot.png
T5_fast20,RDI,57.855000,19,3.001250,23.323615,23.323615,True,0.900000,12.000000,0.222626,53.902174,0.548886,62,1715,1653,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T5_fast20_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T5_fast20_plot.png
T5_normal20,RDI,57.750000,20,3.001250,20.905923,20.905923,True,0.900000,12.000000,0.196364,61.111111,0.542430,65,1715,1650,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T5_normal20_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\T5_normal20_plot.png
TingFast1,RDI,57.505000,15,4.001667,17.582418,17.582418,True,0.843237,12.000000,0.214242,56.011363,0.401346,72,1715,1643,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TingFast1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TingFast1_plot.png
TingNormal1,RDI,58.065000,20,3.001250,23.166023,23.166023,True,0.900000,12.000000,0.233876,51.309278,0.498159,56,1715,1659,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TingNormal1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TingNormal1_plot.png
TingSlow1,RDI,57.890000,11,6.002500,13.340745,13.340745,True,0.900000,12.000000,0.135429,88.607142,0.686427,61,1715,1654,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TingSlow1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TingSlow1_plot.png
TsaoFast1,RDI,55.545000,18,3.001250,19.704433,19.704433,True,0.900000,12.000000,0.247007,48.581632,0.686426,128,1715,1587,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TsaoFast1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TsaoFast1_plot.png
TsaoNormal1,RDI,57.925000,12,6.002500,13.824885,13.824885,True,0.900000,12.000000,0.224773,53.387097,0.707442,60,1715,1655,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TsaoNormal1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TsaoNormal1_plot.png
TsaoSlow1,RDI,58.030000,16,4.001667,17.142857,17.142857,True,0.900000,12.000000,0.217129,55.266666,0.583402,57,1715,1658,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TsaoSlow1_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\TsaoSlow1_plot.png
Y1_fast21,RDI,58.135000,34,1.715000,36.474164,36.474164,True,0.900000,12.000000,0.298615,40.185484,0.572318,54,1715,1661,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y1_fast21_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y1_fast21_plot.png
Y1_normal21,RDI,57.225000,25,2.401000,29.055690,29.055690,True,0.900000,12.000000,0.278899,43.026316,0.712016,80,1715,1635,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y1_normal21_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y1_normal21_plot.png
Y2_fast22,RDI,57.505000,18,3.001250,21.978022,21.978022,True,0.876579,12.000000,0.258065,46.500000,0.429925,72,1715,1643,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y2_fast22_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y2_fast22_plot.png
Y2_normal22,RDI,57.400000,12,6.002500,12.605042,12.605042,True,0.900000,12.000000,0.195122,61.500000,0.652720,75,1715,1640,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y2_normal22_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y2_normal22_plot.png
Y3_fast23,RDI,57.925000,25,2.401000,25.026069,25.026069,True,0.900000,12.000000,0.309366,38.789062,0.475784,60,1715,1655,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y3_fast23_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y3_fast23_plot.png
Y3_normal23,RDI,58.205000,16,4.001667,16.973126,16.973126,True,0.900000,12.000000,0.230908,51.968750,0.632700,52,1715,1663,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y3_normal23_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y3_normal23_plot.png
Y4_fast24,RDI,58.100000,23,3.001250,23.645320,23.645320,True,0.900000,12.000000,0.260241,46.111111,0.499149,55,1715,1660,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y4_fast24_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y4_fast24_plot.png
Y4_normal24,RDI,57.820000,18,3.001250,19.261637,19.261637,True,0.900000,12.000000,0.200969,59.710843,0.705465,63,1715,1652,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y4_normal24_events.csv,C:\Users\macho\Desktop\py389\0122T\out_gated_all\Y4_normal24_plot.png
